year,spending
1970,6069
1971,6443
1972,7150
1973,6820
1974,7219
1975,7184
1976,7191
1977,7695
1978,8354
1979,8887
1980,8928
1981,8552
1982,8311
1983,8622
1984,9281
1985,10296
1986,10421
1987,11330
1988,11685
1989,12474
1990,12657
1991,13602
1992,13421
1993,14329
1994,14770
1995,14628
1996,14416
1997,14852
1998,15648
1999,17240
2000,18960
2001,21589
2002,23091
2003,24106
2004,24972
2005,24842
2006,23575
2007,24050
2008,23970
2009,28765
